,Todos os cursos com alunos ativos,,,,,
Campus,Centro,Código,Cód. EMEC,Nome,Turno,Alunos ativos
Campina Grande,CH - CENTRO DE HUMANIDADES,13301100,13434,ADMINISTRAÇÃO - D,Integral,230
Campina Grande,CH - CENTRO DE HUMANIDADES,13301200,13434,ADMINISTRAÇÃO - N,Noturno,161
Sousa,CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,31301200,118546,ADMINISTRAÇÃO - N,Noturno,162
Pombal,CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,91402100,99800,AGRONOMIA - D,Integral,158
Campina Grande,CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,15101100,1129147,ARQUITETURA E URBANISMO - D,Integral,183
Campina Grande,CH - CENTRO DE HUMANIDADES,13317100,21164,ARTE E MÍDIA - D,Integral,137
Campina Grande,CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,14102100,13446,CIÊNCIA DA COMPUTAÇÃO - D,Integral,761
Patos,CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,41201110,99802,CIÊNCIAS BIOLÓGICAS (LIC) - D,Integral,92
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51201110,99804,CIÊNCIAS BIOLÓGICAS (LIC) - D,Integral,105
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21201110,1152882,CIÊNCIAS BIOLÓGICAS (LIC) - M,Matutino,118
Patos,CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,41201210,99802,CIÊNCIAS BIOLÓGICAS (LIC) - N,Noturno,149
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51201210,99804,CIÊNCIAS BIOLÓGICAS (LIC) - N,Noturno,125
Sousa,CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,31360200,79567,CIÊNCIAS CONTÁBEIS - N,Noturno,177
Campina Grande,CH - CENTRO DE HUMANIDADES,13304100,13451,CIÊNCIAS ECONÔMICAS - M,Matutino,91
